TIPO CONTRIBUYENTE;DOCUMENTO;RIM;CONTRIBUYENTE;TELEFONO;RESULTADO;OBSERVACIONES;PREGUNTA_1;PREGUNTA_2;PREGUNTA_3;PREGUNTA_4;PREGUNTA_5;PREGUNTA_6;PARROQUIA
JURIDICO;411116211;7000001617;100 % LACTEOS Y EMBUTIDOS, C.A;4165612278;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;401614906;2900039412;310, C.A;2617978173;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;412647911;7000001954;4SERVICE, C.A.;4146444020;NO EXISTOSA;NO CONTESTA;;;;;;;COQUIVACOA
JURIDICO;410328355;7000000608;4TOLD VE, C.A.;4246543438;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;70153296;2000084452;700 ARTE Y ANTIGUEDADES C.A;261792328;NO EXISTOSA;TLF NO VALIDO;;;;;;;COQUIVACOA
JURIDICO;411146919;7000000101;72 PRINCESS NAILS, C.A.;4126433351;EXITOSA;NO ESTA INTERESADO;NO;;NO;;;;OLEGARIO VILLALOBOS
JURIDICO;296740844;2900023501;911 SECURITY, C.A;4149007886;EXITOSA;NO ESTA INTERESADO;NO;;NO;;;;CRISTO DE ARANZA
JURIDICO;313292087;2900005556;A-1-IMPORT MARACAIBO,CA;4124732187;EXITOSA;NO HAY INTERNET;NO;;NO;;;;MANUEL DAGNINO
JURIDICO;313814954;2900006893;A1 TRANSMISSION PARTS, C.A.;7352310;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;308016284;2900015142;A2 SOFTWAY,C.A;4146322908;EXITOSA;SIN NOVEDAD;SI;a2;SI;MEDIANA;EXCELENTE;ES MUY COMPLETO;CHIQUINQUIRA
JURIDICO;301609573;2000813875;ABADIA DE LAS MERCEDES C.A;7935532;EXITOSA;ESTAN BUSCANDO COMPRAR UN SOFTWARE;NO;;SI;;;;OLEGARIO VILLALOBOS
JURIDICO;299850560;2900032233;ABAH INVERSIONES C.A;2614003330;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;406868795;2900052964;ABASTO CARNICERIA Y CHARCUTERIA JOSSUE DAVID C.A;4263927340;NO EXISTOSA;NO CONTESTA;;;;;;;SAN ISIDRO
JURIDICO;70490624;2000810805;ABASTO LOS TRES SANTOS C.A.;7191231;NO EXISTOSA;TLF NO VALIDO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;409598230;7000000490;ABASTO MIS DOS HIJOS 2017, C.A.;4246072405;NO EXISTOSA;NO CONTESTA;;;;;;;COQUIVACOA
JURIDICO;294398871;2900017886;ABASTOS SANTA ANA C.A;7425343;NO EXISTOSA;NO CONTESTA;;;;;;;COQUIVACOA
JURIDICO;401185703;2900038665;ABASTOS Y CARNICERIA LA GRAN ESQUINA C.A;4265657598;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;295919034;2900022151;ABASTOS Y LICORES 1° DE MAYO, C.A.;7526167;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;407922297;7000001349;ABASTO Y CHARCUTERIA CLARETH C.A;4146917441;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;405810475;2900050010;ABASTO Y PANADERIA JAILUC C.A.;2617550162;NO EXISTOSA;NO CONTESTA;;;;;;;VENANCIO PULGAR
JURIDICO;404562753;2900044714;ABASTO Y QUINCALLERIA JEHOVA NISSI C,A;4160664195;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
